Sekolah;2019average;2019percentile;2019ppdbrank;2018average;2018percentile;2018ppdbrank;2017average;2017percentile;2017ppdbrank;2016average;2016percentile;2016ppdbrank;;
SMA NEGERI 1;88,33;71%;28;80,59;66%;31;80,98;64%;37;82,67;65%;33;;
SMA NEGERI 2;93,38;87%;10;87,21;87%;10;87,43;84%;12;88,99;86%;12;;
SMA NEGERI 3;86,43;65%;39;78,54;58%;40;80,22;62%;39;80,25;57%;43;;
SMA NEGERI 4;77,63;35%;73;70,38;28%;88;71,72;34%;75;73,58;32%;83;;
SMA NEGERI 5;77,52;35%;74;72,11;35%;77;72,01;35%;73;75,27;38%;72;;
SMA NEGERI 6;87,70;69%;31;80,18;64%;33;81,28;65%;33;81,67;62%;38;;
SMA NEGERI 7;68,93;11%;108;65,87;12%;104;65,04;14%;101;66,62;10%;106;;
SMA NEGERI 8;97,26;98%;1;91,98;98%;1;93,66;98%;1;94,17;97%;1;;
SMA NEGERI 9;76,73;32%;77;73,46;39%;70;73,79;40%;65;76,31;41%;63;;
SMA NEGERI 10;67,07;9%;110;63,85;8%;110;61,57;11%;111;65,48;10%;108;;
SMA NEGERI 11;78,14;37%;72;72,53;36%;74;72,76;37%;70;75,38;37%;70;;
SMA NEGERI 12;91,20;80%;20;83,63;76%;22;85,41;78%;23;86,04;77%;22;;
SMA NEGERI 13;91,38;81%;18;85,43;82%;15;86,49;81%;18;86,58;79%;20;;
SMA NEGERI 14;90,90;79%;21;83,85;77%;21;86,86;82%;16;87,67;83%;15;;
SMA NEGERI 15;67,71;9%;109;64,50;10%;109;61,14;7%;112;65,43;9%;109;;
SMA NEGERI 16;81,47;48%;56;75,72;48%;57;74,71;43%;60;77,45;46%;61;;
SMA NEGERI 17;70,35;16%;105;66,41;16%;103;62,90;11%;108;63,87;8%;113;;
SMA NEGERI 18;70,75;15%;102;67,93;20%;99;64,40;14%;103;66,93;12%;104;;
SMA NEGERI 19;86,74;66%;35;78,70;59%;39;75,38;46%;59;78,94;51%;49;;
SMA NEGERI 20;69,97;13%;106;65,18;11%;108;63,20;11%;107;66,84;11%;105;;
SMA NEGERI 21;93,02;86%;13;86,11;84%;14;87,06;83%;14;89,39;87%;10;;
SMA NEGERI 22;74,62;25%;89;70,62;28%;84;70,77;30%;80;72,64;27%;88;;
SMA NEGERI 23;76,45;31%;79;71,81;33%;80;70,52;30%;81;73,61;31%;81;;
SMA NEGERI 24;75,56;28%;84;70,36;27%;89;69,06;25%;88;74,25;33%;79;;
SMA NEGERI 25;70,72;15%;103;65,73;13%;105;64,06;14%;104;68,32;16%;101;;
SMA NEGERI 26;94,01;89%;9;86,66;86%;11;88,93;88%;9;89,31;87%;11;;
SMA NEGERI 27;74,30;24%;90;69,57;25%;94;69,22;26%;87;73,61;31%;82;;
SMA NEGERI 28;96,57;97%;2;90,95;96%;2;92,61;96%;2;93,26;96%;2;;
SMA NEGERI 29;84,85;60%;42;77,96;56%;43;78,70;57%;41;81,23;61%;40;;
SMA NEGERI 30;81,97;50%;53;74,50;43%;64;75,73;47%;57;79,06;52%;47;;
SMA NEGERI 31;84,40;58%;44;76,89;52%;48;78,66;57%;43;80,36;57%;42;;
SMA NEGERI 32;76,20;30%;82;72,11;34%;76;70,98;31%;79;75,09;36%;73;;
SMA NEGERI 33;90,13;77%;24;82,61;72%;24;82,35;68%;28;85,10;74%;24;;
SMA NEGERI 34;94,81;92%;7;88,93;92%;4;90,75;93%;4;90,76;90%;6;;
SMA NEGERI 35;76,37;31%;81;70,60;29%;85;69,90;29%;85;72,73;30%;87;;
SMA NEGERI 36;79,19;40%;68;73,39;39%;71;73,38;39%;67;74,91;36%;75;;
SMA NEGERI 37;81,60;48%;55;75,79;48%;56;76,09;48%;53;77,55;46%;59;;
SMA NEGERI 38;92,75;85%;14;86,19;85%;13;87,16;83%;13;88,17;84%;14;;
SMA NEGERI 39;95,41;94%;4;88,74;91%;6;90,69;93%;5;91,57;92%;4;;
SMA NEGERI 40;70,62;17%;104;65,45;15%;106;63,47;15%;106;67,16;16%;103;;
SMA NEGERI 41;66,65;7%;111;63,65;8%;111;59,40;5%;114;63,45;6%;114;;
SMA NEGERI 42;81,83;49%;54;76,52;50%;50;78,67;57%;42;81,12;60%;41;;
SMA NEGERI 43;76,84;32%;75;71,85;33%;78;73,02;38%;68;73,57;31%;84;;
